player_id,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,was_mvp
1710,21,0.9,1.2,0.0,-5.9,0.14,0.165,0.14,0.332,0.018000000000000002,13,0
1711,76,8.9,4.9,1.2,6.3,0.037000000000000005,0.172,0.147,0.5720000000000001,0.067,13,0
1719,52,1.8,0.9,0.2,-3.7,0.033,0.063,0.106,0.393,0.033,13,0
1726,52,8.2,2.5,3.4,-4.7,0.01,0.095,0.185,0.443,0.2,13,0
1727,6,11.8,3.8,2.2,7.6,0.031,0.128,0.17,0.57,0.124,13,0
1728,81,13.7,4.4,9.8,4.8,0.043,0.103,0.2,0.54,0.425,13,0
1730,82,8.2,2.6,3.1,-7.4,0.037000000000000005,0.1,0.198,0.513,0.236,13,0
1733,28,2.2,1.4,0.1,-8.0,0.093,0.246,0.221,0.586,0.027000000000000003,13,0
1735,70,10.1,1.9,3.3,-8.2,0.011,0.08,0.212,0.516,0.234,13,0
1740,72,14.1,4.4,1.5,8.7,0.032,0.118,0.196,0.573,0.075,13,0
1810,56,7.1,1.4,1.3,5.3,0.02,0.104,0.241,0.617,0.162,13,0
1741,79,9.0,4.1,1.0,1.9,0.029,0.203,0.204,0.504,0.076,13,0
1743,82,11.9,2.9,1.4,-5.0,0.016,0.084,0.168,0.524,0.067,13,0
1749,80,16.3,3.2,2.6,7.4,0.021,0.087,0.201,0.601,0.118,13,0
1754,80,12.1,3.6,5.6,2.1,0.024,0.107,0.192,0.525,0.28300000000000003,13,0
1757,28,3.4,3.8,0.3,1.5,0.128,0.292,0.175,0.498,0.038,13,0
1765,24,15.2,4.6,2.8,-3.5,0.025,0.129,0.188,0.588,0.125,13,0
1766,13,1.1,1.8,0.5,-22.4,0.045,0.211,0.128,0.339,0.108,13,0
1770,46,18.1,2.7,4.4,-5.5,0.021,0.075,0.275,0.505,0.229,13,0
1771,81,12.3,4.4,2.0,6.6,0.028,0.135,0.184,0.551,0.097,13,0
1779,36,4.4,1.6,1.1,-10.6,0.023,0.118,0.172,0.504,0.128,13,0
1798,51,8.4,4.9,0.1,4.9,0.127,0.151,0.16899999999999998,0.621,0.01,13,0
1802,68,4.7,2.0,0.5,-4.5,0.033,0.14800000000000002,0.17800000000000002,0.515,0.07,13,0
1742,42,3.9,2.1,0.6,-10.4,0.117,0.165,0.184,0.539,0.091,13,0
1691,62,12.6,3.7,1.5,-1.5,0.022,0.112,0.184,0.5329999999999999,0.07200000000000001,13,0
1918,36,6.9,2.2,3.6,0.5,0.024,0.094,0.162,0.563,0.246,13,0
1923,75,12.0,6.4,1.4,6.9,0.077,0.152,0.181,0.535,0.069,13,0
2085,34,9.1,3.6,1.0,-2.9,0.049,0.13699999999999998,0.207,0.503,0.08199999999999999,13,0
2090,52,4.5,2.9,1.0,-16.7,0.054000000000000006,0.106,0.122,0.465,0.077,13,0
2093,72,14.9,5.6,3.8,-1.4,0.033,0.15,0.212,0.488,0.16399999999999998,13,0
2097,2,1.0,0.5,0.0,22.4,0.0,0.16699999999999998,0.087,1.0,0.0,13,0
2108,72,14.6,10.2,2.1,-5.7,0.059,0.285,0.188,0.585,0.108,13,0
2111,65,8.3,1.9,3.1,5.4,0.037000000000000005,0.071,0.17600000000000002,0.6,0.233,13,0
2117,29,8.5,4.8,1.0,-4.3,0.12,0.173,0.249,0.448,0.097,13,0
2124,72,20.1,5.3,5.8,-7.0,0.027000000000000003,0.136,0.264,0.529,0.268,13,0
