pts,reb,ast,net_rating,usg_pct,ast_pct,was_mvp
18.1,3.9,2.5,-2.4,0.241,0.12,0
5.6,2.0,0.4,5.8,0.224,0.063,0
2.5,2.1,0.7,2.9,0.119,0.102,0
3.0,0.0,0.0,250.0,0.5,0.0,0
7.9,2.2,4.7,-9.1,0.185,0.31,0
5.1,3.6,0.8,-10.0,0.14,0.085,0
2.5,2.2,0.8,-12.8,0.12,0.08800000000000001,0
10.3,6.4,1.3,4.1,0.197,0.08800000000000001,0
7.3,2.0,3.0,0.8,0.17800000000000002,0.257,0
12.5,3.1,5.2,7.4,0.212,0.269,0
3.5,3.3,0.5,-1.2,0.13,0.06,0
2.9,1.4,0.2,8.4,0.174,0.042,0
27.5,8.6,9.1,1.6,0.31,0.4320000000000001,0
2.8,1.3,0.3,-40.8,0.165,0.038,0
3.0,1.9,3.3,-5.5,0.125,0.327,0
2.4,1.2,0.7,-1.6,0.147,0.123,0
7.9,4.1,0.3,7.6,0.224,0.036000000000000004,0
4.6,1.7,0.4,-7.2,0.157,0.051,0
1.7,1.3,0.2,-22.4,0.109,0.042,0
4.1,1.2,1.6,-14.0,0.21,0.206,0
7.3,2.9,1.9,8.9,0.119,0.095,0
10.7,2.3,4.2,-1.9,0.221,0.28,0
10.3,10.2,1.3,-6.0,0.16,0.07,0
6.7,4.2,1.7,5.2,0.142,0.097,0
4.9,3.6,0.4,-5.1,0.165,0.035,0
2.9,3.5,0.5,-10.5,0.115,0.056,0
2.3,2.2,0.1,-7.8,0.14300000000000002,0.025,0
10.3,6.1,1.9,-6.5,0.174,0.112,0
4.6,2.3,0.5,-8.9,0.266,0.129,0
1.2,1.4,0.6,-11.2,0.145,0.12,0
4.4,5.7,1.7,1.1,0.111,0.11,0
18.1,10.1,3.4,-5.4,0.24,0.161,0
1.9,2.3,0.5,3.2,0.1,0.07400000000000001,0
6.8,5.9,2.9,8.3,0.128,0.158,0
3.4,2.0,0.2,-3.6,0.177,0.031,0
4.5,3.6,0.5,0.5,0.14400000000000002,0.055,0
10.3,3.7,3.5,6.2,0.14800000000000002,0.17,0
4.5,2.1,0.9,5.0,0.131,0.086,0
18.7,3.7,1.9,-5.8,0.228,0.091,0
6.1,5.2,0.5,-0.7,0.136,0.036000000000000004,0
5.6,1.3,0.5,-2.4,0.202,0.083,0
8.5,2.4,1.6,3.7,0.147,0.092,0
5.6,4.4,1.7,2.0,0.16899999999999998,0.13699999999999998,0
8.4,4.8,1.5,-3.8,0.196,0.111,0
6.5,3.4,3.9,5.2,0.134,0.208,0
19.1,7.4,2.4,1.7,0.253,0.129,0
12.5,7.5,0.9,-6.0,0.227,0.057,0
11.8,3.1,2.1,5.2,0.19,0.109,0
5.8,1.0,3.6,-24.2,0.207,0.247,0
5.4,3.3,0.5,5.0,0.227,0.069,0
2.9,0.9,1.2,-3.0,0.237,0.3,0
12.8,4.9,1.2,10.6,0.206,0.076,0
16.2,8.6,2.1,-2.6,0.228,0.11,0
10.0,6.2,0.7,-2.6,0.235,0.06,0
22.9,10.4,2.7,10.8,0.303,0.149,0
11.9,7.8,3.3,-4.7,0.184,0.173,0
4.7,2.9,1.3,5.3,0.149,0.128,0
17.7,3.8,5.0,2.7,0.254,0.246,0
1.9,1.7,0.8,0.4,0.146,0.134,0
0.0,0.3,0.0,2.8,0.0,0.0,0
6.6,7.0,0.4,-5.0,0.112,0.024,0
4.1,1.5,0.5,-20.7,0.223,0.096,0
0.6,1.0,0.2,-6.2,0.049,0.055,0
9.8,4.0,1.4,6.9,0.185,0.083,0
13.7,9.8,1.7,-6.2,0.219,0.12,0
3.4,1.0,0.4,7.2,0.155,0.081,0
11.3,4.6,4.1,-3.4,0.181,0.199,0
4.7,3.9,0.8,8.7,0.14400000000000002,0.095,0
3.7,1.9,2.0,-0.1,0.095,0.115,0
4.0,1.3,0.7,-4.2,0.154,0.091,0
4.6,4.2,1.1,6.4,0.123,0.093,0
6.4,2.9,0.8,6.3,0.187,0.08,0
6.5,9.1,1.2,-10.2,0.105,0.065,0
5.7,2.0,4.0,-8.9,0.189,0.32,0
11.3,5.2,4.0,2.3,0.163,0.185,0
3.0,0.9,0.8,1.2,0.145,0.105,0
3.0,2.4,4.3,-0.8,0.114,0.306,0
9.6,2.2,3.6,1.9,0.156,0.196,0
4.5,3.5,0.7,-9.7,0.125,0.08900000000000001,0
2.9,2.4,2.1,-20.4,0.172,0.2,0
13.7,4.8,0.9,-1.9,0.23,0.054000000000000006,0
20.0,4.8,3.1,-2.2,0.261,0.155,0
3.7,1.1,1.3,0.7,0.135,0.155,0
11.5,2.1,3.2,-1.1,0.242,0.236,0
9.9,2.0,1.8,5.0,0.129,0.085,0
1.9,1.6,0.3,-7.1,0.198,0.091,0
7.5,3.1,5.6,-0.7,0.16399999999999998,0.302,0
11.1,2.3,6.4,-14.9,0.211,0.37,0
1.9,0.6,1.0,-3.7,0.168,0.174,0
24.1,5.2,6.8,8.0,0.306,0.303,0
2.6,2.6,1.1,-1.1,0.113,0.138,0
5.1,1.5,2.1,4.7,0.151,0.207,0
13.9,7.4,0.7,-1.4,0.219,0.043,0
8.2,6.9,0.9,-6.4,0.135,0.057,0
7.3,4.0,1.0,-2.3,0.207,0.091,0
8.6,7.3,2.7,13.7,0.174,0.153,0
4.1,1.1,2.9,-8.0,0.181,0.33,0
4.0,2.2,1.0,-4.4,0.185,0.141,0
13.6,7.9,4.4,3.5,0.21,0.222,0
13.8,3.5,2.1,4.7,0.265,0.171,0
6.5,0.8,1.8,-8.6,0.215,0.189,0
2.4,0.6,0.6,-3.5,0.196,0.125,0
4.7,2.2,0.3,-14.3,0.155,0.039,0
2.6,2.7,0.7,-0.5,0.147,0.102,0
2.8,3.2,0.8,-7.7,0.132,0.103,0
15.5,3.0,3.8,3.0,0.22,0.183,0
6.3,6.6,0.5,0.5,0.135,0.03,0
12.1,3.0,5.7,-6.4,0.205,0.316,0
17.7,4.5,3.5,2.1,0.258,0.172,0
10.9,2.5,5.6,3.2,0.263,0.454,0
4.2,4.2,0.5,-2.7,0.136,0.052000000000000005,0
14.6,2.9,4.9,2.2,0.249,0.297,0
11.6,8.0,1.7,7.4,0.221,0.108,0
8.4,3.7,0.9,-4.1,0.209,0.081,0
2.5,1.3,1.5,-7.2,0.142,0.225,0
14.6,4.2,5.5,5.8,0.202,0.259,0
18.5,11.2,3.5,3.1,0.232,0.158,0
10.3,11.5,1.1,5.5,0.128,0.053,0
1.2,0.5,0.3,-4.6,0.128,0.078,0
2.1,0.9,0.1,-38.0,0.221,0.026,0
9.2,2.5,0.5,4.6,0.19,0.041,0
1.8,1.7,0.1,4.9,0.104,0.027000000000000003,0
11.6,2.4,3.0,7.8,0.242,0.19,0
14.0,4.0,2.6,-0.9,0.224,0.13699999999999998,0
2.3,2.1,0.1,0.3,0.146,0.012,0
8.0,6.5,0.9,-1.6,0.184,0.068,0
11.0,2.9,2.0,-4.3,0.181,0.101,0
1.3,0.9,0.3,2.0,0.181,0.083,0
9.9,2.8,2.4,-1.5,0.16,0.114,0
1.8,0.9,0.5,-2.2,0.129,0.121,0
13.7,2.6,1.1,-9.0,0.212,0.055,0
11.1,3.9,0.6,-5.6,0.231,0.05,0
10.1,8.0,3.1,1.0,0.201,0.208,0
11.4,4.7,1.3,0.6,0.249,0.111,0
4.2,1.2,0.1,-7.2,0.235,0.026,0
12.2,2.8,5.7,-0.5,0.21600000000000005,0.311,0
5.6,4.6,0.4,4.2,0.155,0.04,0
4.0,1.4,1.1,-0.7,0.119,0.099,0
26.4,3.0,7.1,5.8,0.266,0.271,0
8.4,2.8,4.8,0.3,0.166,0.309,0
15.3,6.2,2.3,2.2,0.234,0.12,0
10.6,4.2,8.2,1.7,0.185,0.38,0
4.7,2.8,0.5,-5.6,0.165,0.079,0
10.4,4.8,1.4,-1.2,0.174,0.076,0
6.9,4.7,1.0,4.3,0.19,0.094,0
13.3,3.4,5.4,8.9,0.193,0.232,0
1.9,1.3,0.6,5.1,0.174,0.106,0
14.8,7.6,1.7,-5.7,0.226,0.111,0
13.3,7.0,1.4,-7.5,0.243,0.08900000000000001,0
4.0,2.1,1.2,-3.7,0.112,0.093,0
12.6,4.9,2.8,4.4,0.233,0.179,0
1.8,0.8,0.5,16.1,0.218,0.184,0
0.0,0.0,2.0,-43.4,0.019,0.28600000000000003,0
7.9,1.8,2.4,-4.0,0.183,0.175,0
12.7,7.4,0.9,1.0,0.226,0.056,0
19.6,4.6,2.4,-1.7,0.248,0.117,0
12.1,2.0,3.3,1.4,0.199,0.204,0
10.8,3.6,1.3,0.8,0.172,0.085,0
8.7,4.1,2.3,-0.3,0.154,0.123,0
22.9,4.3,7.5,2.7,0.298,0.363,0
12.3,3.0,4.3,12.9,0.244,0.274,0
10.3,8.4,1.4,-8.0,0.17800000000000002,0.08199999999999999,0
6.3,2.3,0.9,-6.3,0.218,0.125,0
4.2,1.9,0.3,-1.1,0.174,0.054000000000000006,0
9.1,2.5,0.9,-0.3,0.182,0.062,0
1.4,0.4,0.2,-4.4,0.111,0.045,0
0.0,0.7,0.0,-44.0,0.184,0.0,0
3.9,4.6,0.9,-6.0,0.092,0.065,0
3.2,1.2,2.3,-14.8,0.132,0.269,0
16.1,9.6,3.1,2.2,0.201,0.14400000000000002,0
10.1,4.0,1.5,12.0,0.147,0.067,0
4.5,3.0,0.4,7.8,0.17600000000000002,0.053,0
6.1,3.3,1.1,11.8,0.15,0.086,0
6.3,2.5,4.0,-6.6,0.183,0.326,0
10.3,1.8,2.4,9.5,0.277,0.244,0
12.8,6.6,2.1,5.4,0.209,0.123,0
25.1,12.3,2.7,-0.9,0.274,0.127,0
3.7,1.3,2.2,5.1,0.162,0.276,0
4.3,3.4,0.4,-4.2,0.16699999999999998,0.042,0
25.1,8.3,4.8,16.0,0.276,0.218,0
15.5,1.9,2.1,6.8,0.267,0.136,0
25.3,6.5,2.8,-9.5,0.282,0.135,0
6.5,2.4,1.5,-2.4,0.17800000000000002,0.12,0
8.4,1.9,2.8,-12.3,0.224,0.29,0
14.4,6.2,2.5,3.5,0.175,0.105,0
1.7,2.8,0.4,-8.5,0.07400000000000001,0.05,0
12.8,4.5,3.8,8.7,0.217,0.218,0
5.5,5.0,0.7,-5.2,0.126,0.055,0
13.2,3.0,1.2,-4.1,0.18,0.063,0
8.4,9.6,0.8,4.0,0.142,0.053,0
7.3,5.6,1.6,11.0,0.166,0.126,0
3.0,2.3,0.5,-0.6,0.218,0.08900000000000001,0
22.0,6.3,4.7,2.8,0.264,0.214,0
8.2,6.5,0.5,-11.6,0.192,0.035,0
6.8,3.0,1.0,-10.5,0.165,0.08199999999999999,0
4.4,1.0,1.1,6.3,0.134,0.111,0
7.1,3.3,0.8,1.7,0.302,0.126,0
3.8,0.7,1.3,0.6,0.16,0.21,0
0.0,0.0,0.0,66.7,0.192,0.0,0
5.0,3.0,1.0,-6.6,0.191,0.122,0
5.3,7.4,0.5,4.1,0.12,0.039,0
2.9,2.1,0.4,-5.9,0.123,0.057,0
3.8,2.1,2.4,-2.8,0.142,0.2,0
9.6,2.0,1.5,-3.0,0.204,0.112,0
8.3,7.0,1.0,5.1,0.198,0.067,0
4.5,2.0,1.6,-6.1,0.188,0.188,0
10.8,9.0,2.2,-9.3,0.157,0.109,0
13.2,9.5,1.7,4.8,0.18,0.08,0
10.8,6.0,0.8,-1.1,0.199,0.056,0
1.5,1.2,0.0,-12.5,0.181,0.0,0
7.1,2.9,1.4,8.9,0.108,0.068,0
18.5,10.7,6.1,6.2,0.238,0.28600000000000003,0
23.8,4.3,7.7,17.0,0.28300000000000003,0.358,1
8.1,7.1,1.1,7.7,0.163,0.08900000000000001,0
1.6,1.2,0.2,-2.4,0.113,0.034,0
2.5,2.2,0.4,4.4,0.114,0.047,0
10.9,2.4,5.5,1.8,0.261,0.421,0
12.5,4.1,2.1,-0.3,0.189,0.11,0
5.1,3.5,1.4,-5.2,0.127,0.115,0
8.8,2.4,3.9,-11.4,0.192,0.241,0
7.2,2.6,3.2,-1.8,0.16699999999999998,0.227,0
4.0,2.8,0.6,-11.1,0.158,0.077,0
14.5,2.2,5.2,-8.8,0.264,0.306,0
4.6,2.7,2.2,-3.5,0.166,0.214,0
14.0,3.1,7.9,1.4,0.26,0.448,0
4.4,1.1,2.4,31.7,0.232,0.322,0
6.4,2.0,0.9,-7.0,0.217,0.087,0
11.7,4.2,1.7,-0.1,0.207,0.102,0
5.5,3.7,0.4,1.7,0.17,0.043,0
17.6,3.5,7.0,-0.5,0.257,0.349,0
25.5,4.7,5.1,1.5,0.271,0.224,0
4.8,5.6,0.8,-1.1,0.112,0.06,0
3.5,5.0,1.0,3.9,0.14800000000000002,0.104,0
0.4,0.9,0.1,-8.6,0.122,0.063,0
2.5,1.9,2.2,-2.7,0.112,0.235,0
12.5,2.8,4.3,6.0,0.229,0.252,0
8.4,4.1,1.3,-11.0,0.213,0.095,0
18.8,9.6,3.9,6.1,0.282,0.196,0
7.6,4.0,3.4,13.4,0.113,0.16899999999999998,0
13.6,4.0,6.7,-5.3,0.201,0.309,0
1.7,1.7,0.7,-1.9,0.157,0.129,0
10.3,8.3,2.3,4.3,0.218,0.14800000000000002,0
5.1,1.1,2.0,-1.3,0.174,0.229,0
21.1,7.7,6.8,3.2,0.272,0.309,0
3.7,4.7,0.5,7.4,0.125,0.05,0
6.3,4.7,1.2,-0.7,0.159,0.106,0
5.5,1.8,2.8,-7.3,0.139,0.234,0
19.6,7.6,2.3,1.8,0.237,0.101,0
4.4,2.3,1.9,2.4,0.101,0.133,0
10.3,6.4,1.1,1.8,0.177,0.071,0
6.0,3.9,0.6,7.0,0.24,0.091,0
4.6,1.8,1.6,0.7,0.188,0.19,0
8.4,1.8,0.8,-0.4,0.193,0.069,0
12.0,5.3,1.7,2.1,0.194,0.11,0
18.0,2.5,2.2,13.0,0.238,0.113,0
8.3,3.3,0.8,-5.8,0.183,0.065,0
6.2,5.5,1.1,1.4,0.121,0.067,0
1.2,0.6,0.3,3.9,0.1,0.085,0
13.3,4.6,1.3,-3.1,0.26,0.092,0
22.6,4.4,4.5,2.4,0.268,0.206,0
2.6,1.1,0.1,-14.2,0.182,0.038,0
8.0,2.2,7.2,6.0,0.149,0.366,0
0.6,0.7,0.1,-1.8,0.151,0.081,0
8.8,8.7,0.5,8.0,0.138,0.023,0
0.2,0.8,1.0,14.0,0.123,0.238,0
2.2,1.3,0.3,-2.6,0.222,0.103,0
2.6,0.2,0.5,-26.6,0.345,0.25,0
0.6,0.0,0.2,-82.9,0.187,0.118,0
7.7,1.9,1.2,-18.1,0.17600000000000002,0.093,0
2.2,2.2,0.2,-11.9,0.127,0.03,0
8.4,1.6,1.2,-4.5,0.222,0.127,0
7.0,4.7,0.9,-1.4,0.183,0.084,0
5.3,3.9,0.5,-7.0,0.138,0.051,0
9.4,3.9,1.8,-5.8,0.16399999999999998,0.109,0
6.8,1.8,2.0,0.8,0.173,0.17800000000000002,0
3.0,1.0,0.1,-12.0,0.25,0.048,0
13.8,3.9,3.9,-3.6,0.208,0.215,0
4.0,1.0,1.0,-28.1,0.14300000000000002,0.14300000000000002,0
5.9,1.9,2.0,1.0,0.16,0.14400000000000002,0
9.9,5.2,1.6,6.5,0.146,0.081,0
16.0,4.4,3.9,16.6,0.242,0.217,0
11.7,2.6,4.7,4.3,0.193,0.272,0
5.6,1.9,2.7,5.7,0.13699999999999998,0.17,0
